Código,Tipo,Liquidación,Fecha,Hora,Moneda,Variación,Último Pcio.,Apertura,Cierre Ant.,Pcio. Máx.,Pcio. Mín.,V.Nominal,Mto. Negoc.,OP
,,,,,,,,,,,,,,
,S2N5Z,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S30A6,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$111,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S30A6,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"2,73%","$113,00","$109,99","$109,99","$113,00","$108,00",V$15.753.309,$17.355.417,229
,,,,,,,,,,,,,,
,S31O5,LETRAS TESORO NAC,Inmed.,28/10/2025 17:00,Pesos Argentinos,"0,20%","$132,25","$132,31","$131,98","$132,31","$131,50",V$21.796.340.622,$28.764.642.985,11.151
,,,,,,,,,,,,,,
,S31O5,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"0,18%","$132,22","$132,00","$131,98","$132,59","$131,90",V$42.464.477.562,$56.127.458.248,12.251
,,,,,,,,,,,,,,
,SE6C,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SE6D,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SE6D,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SE6X,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$104,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,SE6X,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$106,71","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
